ticket_id,customer_id,created_date,category,priority,resolution_days,csat_score
TKT_000001,CUST_02552,2022-06-26,Delivery,Medium,3,4
TKT_000002,CUST_03104,2023-11-12,Return,Medium,1,
TKT_000003,CUST_03307,2022-08-11,Account,Medium,2,4
TKT_000004,CUST_03725,2022-04-07,App Issue,Medium,3,5
TKT_000005,CUST_03864,2022-03-24,Return,Medium,3,
TKT_000006,CUST_03904,2022-10-15,Delivery,Medium,1,4
TKT_000007,CUST_01741,2023-10-25,Other,High,2,2
TKT_000008,CUST_01380,2022-07-20,App Issue,Low,5,3
TKT_000009,CUST_02247,2024-05-22,Other,Low,5,5
TKT_000010,CUST_01961,2024-05-31,Payment,Medium,7,3
TKT_000011,CUST_01776,2022-06-08,Account,Medium,2,3
TKT_000012,CUST_04461,2023-05-15,Return,Medium,3,3
TKT_000013,CUST_02411,2024-02-20,App Issue,High,3,5
TKT_000014,CUST_04359,2022-02-04,Return,Medium,1,3
TKT_000015,CUST_01868,2023-08-24,Other,Medium,1,2
TKT_000016,CUST_04239,2022-03-20,Product Quality,Medium,1,5
TKT_000017,CUST_01621,2023-09-17,Delivery,Medium,5,4
TKT_000018,CUST_02811,2024-05-28,App Issue,Low,5,3
TKT_000019,CUST_02687,2022-12-24,Product Quality,Medium,7,3
TKT_000020,CUST_03152,2022-07-28,Other,Medium,2,4
TKT_000021,CUST_03901,2023-07-25,Payment,Medium,5,3
TKT_000022,CUST_00471,2023-10-01,Payment,Low,2,5
TKT_000023,CUST_03450,2023-09-11,Other,High,,2
TKT_000024,CUST_00816,2023-03-21,Payment,Low,5,5
TKT_000025,CUST_00246,2023-01-12,Payment,High,7,4
TKT_000026,CUST_04811,2022-03-05,Return,Low,2,5
TKT_000027,CUST_00918,2023-04-10,Account,Medium,5,5
TKT_000028,CUST_04279,2022-06-20,Return,Medium,5,5
TKT_000029,CUST_04040,2022-08-05,Delivery,Medium,5,2
TKT_000030,CUST_02909,2024-06-18,Account,Low,1,5
TKT_000031,CUST_03050,2022-01-31,App Issue,High,1,4
TKT_000032,CUST_04865,2022-11-07,Delivery,Medium,2,5
TKT_000033,CUST_04503,2024-03-18,Account,Medium,3,4
TKT_000034,CUST_01997,2023-06-21,Payment,High,3,5
TKT_000035,CUST_02276,2024-05-25,Payment,Medium,1,5
TKT_000036,CUST_02370,2024-01-05,Payment,High,5,3
TKT_000037,CUST_01896,2023-06-08,App Issue,Low,5,5
TKT_000038,CUST_03081,2023-01-07,App Issue,Low,5,3
TKT_000039,CUST_01982,2022-09-01,Other,High,1,5
TKT_000040,CUST_00150,2024-04-22,Account,Low,2,3
TKT_000041,CUST_03750,2023-11-18,Payment,High,3,3
TKT_000042,CUST_01443,2023-05-18,Account,High,2,4
TKT_000043,CUST_00635,2024-05-27,Account,Low,1,4
TKT_000044,CUST_04288,2024-04-01,Other,Medium,5,2
TKT_000045,CUST_01461,2023-12-24,Other,Medium,2,4
TKT_000046,CUST_02685,2023-12-24,Return,Low,2,3
TKT_000047,CUST_02630,2022-01-11,Product Quality,High,10,5
TKT_000048,CUST_04009,2022-05-09,Payment,High,,5
TKT_000049,CUST_01520,2024-04-26,Other,Low,3,1
