txn_id,customer_id,txn_date,amount,category,channel,is_returned,payment_method,net_amount,txn_year_month
TXN_0000001,CUST_04013,2022-11-02,978.94,Apparel,Web,0,Credit Card,978.94,2022-11
TXN_0000002,CUST_02093,2022-08-22,172.35,Apparel,Web,0,Debit Card,172.35,2022-08
TXN_0000003,CUST_02968,2022-01-07,563.9,Grocery,In-Store,1,Credit Card,0.0,2022-01
TXN_0000004,CUST_01070,2024-05-13,6533.49,Grocery,In-Store,1,UPI,0.0,2024-05
TXN_0000005,CUST_01676,2023-09-19,410.88,Apparel,Mobile App,0,COD,410.88,2023-09
TXN_0000006,CUST_02613,2023-06-02,2404.14,Electronics,Mobile App,0,Credit Card,2404.14,2023-06
TXN_0000007,CUST_04397,2022-07-30,99.66,Home,In-Store,0,Credit Card,99.66,2022-07
TXN_0000008,CUST_00288,2023-07-18,1767.95,Apparel,In-Store,0,COD,1767.95,2023-07
TXN_0000009,CUST_00786,2023-10-20,1306.15,Sports,Mobile App,0,UPI,1306.15,2023-10
TXN_0000010,CUST_02317,2024-02-19,3099.67,Apparel,In-Store,0,COD,3099.67,2024-02
TXN_0000011,CUST_02839,2024-01-17,1789.36,Beauty,In-Store,0,COD,1789.36,2024-01
TXN_0000012,CUST_03638,2023-09-15,1659.39,Home,Mobile App,0,Net Banking,1659.39,2023-09
TXN_0000013,CUST_02629,2023-11-08,2449.13,Beauty,Web,0,COD,2449.13,2023-11
TXN_0000014,CUST_01266,2022-09-23,3019.59,Beauty,Mobile App,0,Net Banking,3019.59,2022-09
TXN_0000015,CUST_02984,2024-05-04,2607.98,Travel,Mobile App,0,UPI,2607.98,2024-05
TXN_0000016,CUST_03016,2022-01-21,5375.49,Electronics,Mobile App,0,Net Banking,5375.49,2022-01
TXN_0000017,CUST_00071,2024-06-04,303.46,Books,Mobile App,0,Credit Card,303.46,2024-06
TXN_0000018,CUST_04931,2023-10-15,7929.07,Grocery,Mobile App,0,Net Banking,7929.07,2023-10
TXN_0000019,CUST_02461,2022-09-11,2828.56,Sports,In-Store,0,UPI,2828.56,2022-09
TXN_0000020,CUST_00612,2023-08-01,550.96,Books,Mobile App,0,UPI,550.96,2023-08
TXN_0000021,CUST_03524,2023-10-20,1333.73,Electronics,Mobile App,0,Debit Card,1333.73,2023-10
TXN_0000022,CUST_03703,2024-03-13,924.24,Electronics,Partner,0,COD,924.24,2024-03
TXN_0000023,CUST_02577,2024-05-29,3154.99,Beauty,In-Store,0,COD,3154.99,2024-05
TXN_0000024,CUST_00191,2022-04-08,13532.97,Grocery,Web,0,COD,13532.97,2022-04
TXN_0000025,CUST_01748,2022-08-21,5070.43,Grocery,Mobile App,0,Credit Card,5070.43,2022-08
TXN_0000026,CUST_02126,2023-04-03,4950.98,Travel,Mobile App,0,UPI,4950.98,2023-04
