event_id,customer_id,event_type,event_date,device,session_minutes
0,CUST_00241,wishlist,2023-08-24 03:00:00,iOS,12.2
1,CUST_04817,checkout,2024-06-10 23:00:00,iOS,15.3
2,CUST_03703,page_view,2024-02-22 13:00:00,Android,5.3
3,CUST_03922,product_click,2022-01-12 17:00:00,iOS,5.8
4,CUST_00106,wishlist,2022-12-04 12:00:00,iOS,7.1
5,CUST_02111,search,2022-07-07 10:00:00,iOS,1.3
6,CUST_02618,checkout,2023-09-14 17:00:00,Android,4.6
7,CUST_00552,search,2024-04-08 11:00:00,Android,3.5
8,CUST_00582,add_to_cart,2022-09-11 13:00:00,iOS,13.6
9,CUST_01236,product_click,2022-11-14 12:00:00,Desktop,6.3
10,CUST_00177,page_view,2022-03-27 04:00:00,Android,10.8
11,CUST_01294,wishlist,2022-03-31 20:00:00,Android,8.7
12,CUST_04652,page_view,2022-05-19 23:00:00,iOS,8.7
13,CUST_02509,search,2023-03-03 16:00:00,iOS,10.2
14,CUST_04678,product_click,2023-10-01 00:00:00,Android,0.9
15,CUST_04403,wishlist,2022-10-05 20:00:00,Android,4.3
16,CUST_03500,app_open,2023-11-21 05:00:00,Android,4.6
17,CUST_00604,add_to_cart,2022-10-04 20:00:00,Android,2.0
18,CUST_03873,wishlist,2022-07-23 05:00:00,Desktop,8.7
19,CUST_02220,checkout,2023-07-15 07:00:00,Desktop,5.2
20,CUST_04176,page_view,2024-06-01 23:00:00,iOS,9.2
21,CUST_04255,page_view,2023-05-25 20:00:00,iOS,10.6
22,CUST_01766,page_view,2023-09-26 14:00:00,iOS,11.3
23,CUST_03357,page_view,2022-10-17 12:00:00,Desktop,3.1
24,CUST_00747,product_click,2023-05-20 21:00:00,Desktop,2.1
25,CUST_03726,product_click,2024-02-02 01:00:00,iOS,7.3
26,CUST_01959,page_view,2024-03-24 21:00:00,Desktop,1.4
27,CUST_00611,page_view,2022-12-24 01:00:00,iOS,14.7
28,CUST_03653,page_view,2022-01-18 11:00:00,Android,7.1
29,CUST_02184,page_view,2023-05-18 12:00:00,Desktop,9.3
30,CUST_01419,add_to_cart,2022-06-18 21:00:00,Android,7.3
31,CUST_02629,page_view,2024-04-16 01:00:00,Android,11.4
32,CUST_03857,add_to_cart,2023-03-08 03:00:00,iOS,1.0
33,CUST_04639,product_click,2022-04-10 10:00:00,Desktop,6.3
34,CUST_03611,page_view,2023-03-11 12:00:00,Android,7.7
35,CUST_03168,add_to_cart,2023-05-06 15:00:00,Android,5.1
36,CUST_04763,add_to_cart,2023-04-09 12:00:00,iOS,6.5
37,CUST_01423,product_click,2022-02-12 06:00:00,Desktop,5.3
38,CUST_03739,add_to_cart,2023-09-26 12:00:00,iOS,9.6
39,CUST_02585,search,2022-01-11 21:00:00,Android,5.5
40,CUST_01891,page_view,2023-11-06 14:00:00,Desktop,6.7
41,CUST_01545,page_view,2022-06-12 14:00:00,Desktop,0.8
42,CUST_04452,add_to_cart,2022-11-19 15:00:00,iOS,8.5
43,CUST_04379,wishlist,2022-04-10 13:00:00,Desktop,5.4
44,CUST_01516,page_view,2022-04-25 07:00:00,iOS,0.4
45,CUST_04057,add_to_cart,2022-07-23 19:00:00,Android,1.3
46,CUST_00847,wishlist,2022-09-02 18:00:00,Desktop,14.7
47,CUST_02822,search,2022-02-23 05:00:00,iOS,5.4
48,CUST_04519,app_open,2023-03-14 06:00:00,Android,6.6
49,CUST_00258,page_view,2023-07-13 18:00:00,iOS,15.4
50,CUST_02909,checkout,2022-06-13 01:00:00,Android,8.2
51,CUST_03325,wishlist,2022-05-25 06:00:00,Android,9.3
52,CUST_04729,checkout,2024-01-27 10:00:00,iOS,5.3
53,CUST_01503,page_view,2022-02-05 01:00:00,Android,20.0
54,CUST_02601,search,2023-10-06 20:00:00,iOS,6.2
55,CUST_04684,wishlist,2022-10-16 17:00:00,iOS,10.1
56,CUST_02775,page_view,2023-11-18 12:00:00,Tablet,8.6
57,CUST_02313,app_open,2022-01-28 09:00:00,Android,1.6
58,CUST_00547,wishlist,2022-11-02 05:00:00,Tablet,7.4
59,CUST_03278,page_view,2022-07-03 01:00:00,Android,12.9
60,CUST_00030,page_view,2024-01-01 13:00:00,Desktop,5.9
61,CUST_01811,checkout,2024-05-09 16:00:00,Desktop,9.2
62,CUST_00489,app_open,2022-09-26 16:00:00,Desktop,3.5
63,CUST_01348,page_view,2023-01-10 12:00:00,Android,11.6
64,CUST_02179,search,2023-04-10 18:00:00,Desktop,0.4
65,CUST_02334,page_view,2023-05-15 09:00:00,iOS,0.7
66,CUST_01211,page_view,2023-04-25 07:00:00,Android,16.3
67,CUST_02854,page_view,2024-02-11 13:00:00,Android,2.3
68,CUST_04524,add_to_cart,2022-10-08 22:00:00,Desktop,2.3
69,CUST_01645,page_view,2023-05-07 13:00:00,Desktop,10.7
70,CUST_04324,add_to_cart,2024-05-10 00:00:00,Android,13.3
71,CUST_03719,checkout,2023-03-04 20:00:00,Tablet,4.9
